Project #,Opportunity Title,Pier Load Calcs,Total MW,Module/Row ,DWS (),Snow Load ,Mod Len,Hole c/c,Mod Wid,Mod Thickness,Mod  Weight,Pier Height,GCR,EXT - Total Piers,EXT - Drive Piers,EDG - Total Piers,EDG - Drive Piers,INT - Total Piers,INT - Drive Piers,Tracker Version,"Panel Rail Length Group, A","Panel Hole Spacing Group, B"
810142,"Moss - Mahi Solar, HI - 160MW - Gemini",https://nextracker.app.box.com/file/748792510365,160,60,135.00,0,2024,,1245,49,76.94,6.5,0.35,8,8,6,5,,,NXG - 1.3.FSLR S6,2,-94
1180747,"Invenergy - Yum Yum, TN - 190 MW - Gemini",https://nextracker.app.box.com/file/749059328264?s=3paj5do6hbjeoracsln2n85sm5pftu6z,190,54,100.00,10,2131,1011,1052,35,65.08,6.5,0.32,4,4,4,4,,,NXG - 1.3.4.8,4,8
1180747,"Invenergy - Yum Yum, TN - 190 MW - Gemini",https://nextracker.app.box.com/file/747874247895?s=7v8sahn1pwswk6l6pmxpf4brh41vtm6z,190,108,100.00,10,2131,1011,1052,35,65.08,6.5,0.32,7,7,6,4,,,NXG - 1.3.4.8,4,8
1299634,"Black & Veath - Sandy Creek Solar, FL - 98.8MW - Gemini",https://nextracker.app.box.com/file/748789201513,98.8,60,120.00,0,2009,,1232,49,76.05,6.5,0.37,6,6,5,4,,,NXG - 1.3.FSLR S6,2,-94
1299634,"Black & Veath - Sandy Creek Solar, FL - 98.8MW - Gemini",https://nextracker.app.box.com/file/748777109958,98.8,120,120.00,0,2009,,1232,49,76.05,6.5,0.37,12,12,9,8,,,NXG - 1.3.FSLR S6,2,-94
1300137,"Moss - Thunder Wolf Solar, CO - 320MW",https://nextracker.app.box.com/file/749504871039?s=4rhbs6vfzfvenxsb4j55fjy9epd69ceu,320,104,105.00,20,2008,952,1002,40,49.6,6.5,0.35,7,7,6,4,,,NXG - 1.3.2.2,2,2
1300034,"Moss - Neptune Solar, CO - 400MW",https://nextracker.app.box.com/file/748780053399?s=m8vx7zt4b66et41temdzjxm8epuwar4e,400,104,105.00,10,2008,952,1002,40,49.6,6.5,0.35,6,6,6,4,,,NXG - 1.3.2.2,2,2
1302240,"Kiewit - Powell's Creek Solar, VA - 95MW",https://nextracker.app.box.com/file/751153565927?s=rbg9ndaulyajy8gqq4udeiwzllot53yk,95,56,103.00,20,2300,1107,1143,35,72.31,6.5,0.36,6,6,4,4,,,NXG - 1.3.7.18,7,18
1302240,"Kiewit - Powell's Creek Solar, VA - 95MW",https://nextracker.app.box.com/file/750758732210?s=u8v3rt49736snrssawxqthk3745kmm73,95,112,103.00,20,2300,1107,1143,35,72.31,6.5,0.36,10,10,8,5,,,NXG - 1.3.7.18,7,18
1301634,"WOOD PLC - Flatland, TX - 233.18MW - Gemini",https://nextracker.app.box.com/file/751126375239?s=xb8xvaio5dt5ryafsmwc0ex8wi29tsn7,233.18,104,99.00,5,2260,10199,1048,32,65.9,6.5,0.4,7,7,6,4,,,NXG - 1.3.7.927,7,927
1301634,"WOOD PLC - Flatland, TX - 233.18MW - Gemini",https://nextracker.app.box.com/file/750756253860?s=dxt4cy5fnahnskchtqvfn99deab4f1n2,233.18,104,99.00,5,2260,1019,1048,32,65.9,8.5,0.4,8,8,6,4,,,NXG - 1.3.7.9,7,9
1307545,"IEA - Powell's Creek, VA - 98.4MW",https://nextracker.app.box.com/file/750763984226,98.4,108,103.00,20,2300,1107,1143,35,72.31,6.5,0.36,10,10,8,5,,,NXG - 1.3.7.18,7,18
1307545,"IEA - Powell's Creek, VA - 98.4MW",https://nextracker.app.box.com/file/750761057749,98.4,54,103.00,20,2300,1107,1143,35,72.31,6.5,0.36,5,5,4,3,,,NXG - 1.3.7.18,7,18
1295727,"Moss Solar, Jackpot Solar, ID - 155.98MW - Gemini",https://nextracker.app.box.com/file/752045898440?s=unluptcluexhzkvovpkqoj42yzkdtqz6,155.98,108,96.00,15,2024,960,1002,30,57.3,6.5,0.28,7,7,6,4,,,NXG - 1.3.2.3,2,3
1219730,"Wanzek - Bay Trail, FL - 91MW - NX Gemini",https://nextracker.app.box.com/file/753532456991,91,104,122.00,0,2163,980,1030,35,65.04,6.5,0.35,11,11,8,5,,,NXG - 1.3.5.5,5,5
1219730,"Wanzek - Bay Trail, FL - 91MW - NX Gemini",https://nextracker.app.box.com/file/753533665395,91,52,122.00,0,2163,980,1030,35,65.04,6.5,0.35,5,5,4,3,,,NXG - 1.3.5.5,5,5
1285700,"Invenergy - Richfield Solar, MD - 68.5MW",https://nextracker.app.box.com/file/753972680586?s=e8409cnbwybx9j716r138e6zzbtjl18y,68.5,108,107.00,20,2094,997,1038,35,60.62,6.5,0.35,8,8,7,4,,,NXG - 1.3.3.7,3,7
1219730,"Wanzek - Bay Trail, FL - 91MW - NX Gemini",https://nextracker.box.com/s/o5b37lfq2xu0w1pifjyvdzvw1msthrgn,91,104,122.00,0,2163,980,1030,35,65.04,6.5,0.35,11,11,8,5,,,NXG - 1.3.5.5,5,5
1276487,"Invenergy - Calhoun, MI- 250 MW - Gemini",https://nextracker.box.com/s/cq3hzsr34hqmapj80aoue19e03hgn6uh,250,108,100.00,25,2094,997,1038,35,60.62,6.5,0.35,7,7,7,4,,,NXG - 1.3.3.7,3,7
1318963,"OrigisEnergy - Golden Triangle, MS - 600MW - Gemini",https://nextracker.app.box.com/file/754789760949,600,120,101.00,10,2009,,1232,49,76.06,6.5,0.35,9,9,8,5,,,NXG - 1.3.FSLR S6,,
1318964,"OrigisEnergy - Golden Triangle, MS - 600MW - Gemini",https://nextracker.app.box.com/file/754792995107,600,60,101.00,10,2009,,1232,49,76.06,6,0.35,5,5,5,3,,,NXG - 1.3.FSLR S6,,
1318965,"OrigisEnergy - Golden Triangle, MS - 600MW - Gemini",https://nextracker.app.box.com/file/754795173971,600,100,101.00,10,2285,,1134,35,1098,6,0.35,9,9,7,5,,,NXG - 1.3.FSLR S6,,
1318966,"OrigisEnergy - Golden Triangle, MS - 600MW - Gemini",https://nextracker.app.box.com/file/754788699414,600,50,101.00,10,2285,,1134,35,69.66,6,0.35,5,5,4,3,,,NXG - 1.3.FSLR S6,,
1280292,"Invenergy - Mustang Mile, MI - 260MW - Gemini",https://nextracker.box.com/s/vi9tgrqo00fqzpwrw75kpaw495kkvz8s,260,112,99.00,60,2285,1098,1134,35,69.66,6.5,0.35,10,10,10,6,,,NXG - 1.3.7.17,7,17
1313058,"Moss - Duke - Pisgah Ridge, TX - 325MW - Gemini",https://nextracker.app.box.com/file/757045342636?s=od22rop2iqqhacthhcykexryxtdpz0t4,325,108,98.00,5,2024,957,1002,30,57.3,6.5,0.32,6,6,6,4,,,NXG - 1.3.2.3,2,3
1313059,"Moss - Duke - Pisgah Ridge, TX - 325MW - Gemini",https://nextracker.app.box.com/file/760365990351?s=vp4xoplgouok5m75zu8qv72uf9xfviar,325,54,98.00,5,2024,957,1002,30,57.3,6.5,0.35,3,3,3,2,,,NXG - 1.3.2.3,2,3
1328981,"McCarthy - Calhoun, MI - 250MW - Gemini",https://nextracker.app.box.com/file/757143818994,250,108,100.00,30,2094,997,1038,35,60.62,6.5,0.35,7,7,7,4,,,NXG - 1.3.3.7,3,7
1328981,"McCarthy - Calhoun, MI - 250MW - Gemini",https://nextracker.app.box.com/file/757141838431,250,54,100.00,30,2094,997,1038,35,60.62,6.5,0.35,4,4,4,2,,,NXG - 1.3.3.7,3,7
1325471,"Rosendin - Kensington, OH - 162MW - Gemini",https://nextracker.app.box.com/file/756307606666?s=df2zvai2jshsmpw74l8q4sa5x5hn92t6,162,104,101.00,25,2205,,1032,40,58.42,6.5,0.35,7,7,7,4,,,NXG - 1.3.FSLR S6,,
1325471,"Rosendin - Kensington, OH - 162MW - Gemini",https://nextracker.app.box.com/file/758567004953?s=es3l8bx7va0pek8xkii2g8x0iryrcdmh,162,52,101.00,25,2205,,1032,40,58.42,6.5,0.35,4,4,4,3,,,NXG - 1.3.FSLR S6,,
1331481,"Kiewit - Birchwood Solar, VA - 69MW",https://nextracker.box.com/s/66shrupao9r8xbxd5z0iumiwgd6en9iy,69,108,103.00,25,2384,1057,1096,35,71.9,6.5,0.34,11,11,8,6,,,NXG - 1.3.9.13,9,13
1096538,"McCarthy - Maple Flats, IL - 334MW",https://nextracker.box.com/s/y6xvwcpglhp22qc65s2z5bdcetf2rr7v,166,108,100.00,20,2131,1011,1052,35,65.04,6.5,0.33,7,7,7,4,,,NXG - 1.3.4.8,4,8
1332282,"Eclipse-M - CZBG Solar, OH - 29MW - Gemini",https://nextracker.app.box.com/file/759133395686,29,108,105.00,20,2030,963,1004,35,55.997,6.5,0.4,7,7,7,4,,,NXG - 1.3.2.3,2,3
1207003,"Gemma Power - CPV Maple Hill, PA - 127MW - Gemini",https://nextracker.box.com/s/p2uzpgdixok3411modr05t8nm7wcldid,127,108,101.00,50,2132,1040,1048,30,63.93,7,0.46,9,9,8,5,,,NXG - 1.3.4.11,4,11
1332282,"Eclipse-M - CZBG Solar, OH - 29MW - Gemini",https://nextracker.app.box.com/file/759133165572,29,54,105.00,20,2030,963,1004,35,55.997,6.5,0.4,4,4,4,2,,,NXG - 1.3.2.3,2,3
1337586,"IEA - Signal Ranch, TX - 60MW - Gemini",https://nextracker.app.box.com/file/745111765947?s=d0dazufsw00bvlmsnqfo2rrpzcl1xmv1,60,116,98.00,5,1966,954,992,40,49.82,6.5,0.35,,,,,,,NXG - 1.3.1.2,1,2
1337587,"IEA - Signal Ranch, TX - 60MW - Gemini",https://nextracker.app.box.com/file/744076281766,60,54,98.00,5,2205,982,1032,40,58.42,6.5,0.35,,,,,,,NXG - 1.3.6.5,6,5
1337588,"IEA - Signal Ranch, TX - 60MW - Gemini",https://nextracker.app.box.com/file/744076953390,60,108,98.00,5,2205,982,1032,40,58.42,6.5,0.35,,,,,,,NXG - 1.3.6.5,6,5
1337589,"IEA - Signal Ranch, TX - 60MW - Gemini",https://nextracker.app.box.com/file/744075802925,60,116,98.00,5,1966,954,992,40,49.82,6.5,0.35,,,,,,,NXG - 1.3.1.2,1,2
